experiment,condition,objective,score,food,wall_bounces,ltm_usage,trial,domain,weight_config,checkpoint,rep
5.5.5,A,baseline,38.0,38,8,0.0,0.0,,,,
5.5.5,A,baseline,29.0,29,8,0.0,1.0,,,,
5.5.5,A,baseline,27.0,27,9,0.0,2.0,,,,
5.5.5,A,baseline,38.0,38,6,0.0,3.0,,,,
5.5.5,A,baseline,26.0,26,9,0.0,4.0,,,,
5.5.5,D,baseline,28.0,28,7,0.004,0.0,,,,
5.5.5,D,baseline,21.0,21,1,0.003,1.0,,,,
5.5.5,D,baseline,24.0,24,4,0.004,2.0,,,,
5.5.5,D,baseline,39.0,39,3,0.004,3.0,,,,
5.5.5,D,baseline,32.0,32,5,0.008,4.0,,,,
5.5.5,A,efficiency,166.0,19,7,0.0,0.0,,,,
5.5.5,A,efficiency,356.0,38,5,0.0,1.0,,,,
5.5.5,A,efficiency,246.0,27,7,0.0,2.0,,,,
5.5.5,A,efficiency,216.0,24,6,0.0,3.0,,,,
5.5.5,A,efficiency,296.0,32,8,0.0,4.0,,,,
5.5.5,D,efficiency,236.0,26,6,0.003,0.0,,,,
5.5.5,D,efficiency,206.0,23,8,0.001,1.0,,,,
5.5.5,D,efficiency,306.0,33,7,0.004,2.0,,,,
5.5.5,D,efficiency,166.0,19,3,0.004,3.0,,,,
5.5.5,D,efficiency,276.0,30,8,0.007,4.0,,,,
5.5.5,A,accuracy,236.0,26,12,0.0,0.0,,,,
5.5.5,A,accuracy,290.0,31,10,0.0,1.0,,,,
5.5.5,A,accuracy,254.0,29,18,0.0,2.0,,,,
5.5.5,A,accuracy,278.0,29,6,0.0,3.0,,,,
5.5.5,A,accuracy,286.0,31,12,0.0,4.0,,,,
5.5.5,D,accuracy,368.0,38,6,0.003,0.0,,,,
5.5.5,D,accuracy,292.0,30,4,0.005,1.0,,,,
5.5.5,D,accuracy,186.0,21,12,0.007,2.0,,,,
5.5.5,D,accuracy,324.0,34,8,0.002,3.0,,,,
5.5.5,D,accuracy,298.0,31,6,0.007,4.0,,,,
5.5.5,A,speed,400.0,26,6,0.0,0.0,,,,
5.5.5,A,speed,380.0,25,8,0.0,1.0,,,,
